name,gender,affliation
"['Ashley-Ann FRANCIES', 'Minenhle NGQEZA']",FEMALE,"['EDEN', 'EDEN']"
"['Ashlyn RAMTHOL', 'Aryik BHUNDOO']",MALE,"['UMG', 'UMG']"
"['Ayola MBETHE', 'Nzameko NGAMBU']",MALE,"['EC', 'EC']"
"['Azalea LALLO', 'Turzo RANCK']",MALE,"['CT', 'CT']"
"['Azalea LALLO', 'Willow SMITH']",FEMALE,"['CT', 'CT']"
"['Azile MACHI', 'Halaletsang MATSIE']",FEMALE,"['FS', 'FS']"
"['Azile MACHI', 'Kgalalelo PHEKONYANE']",MALE,"['FS', 'FS']"
"['BYE  ', 'BYE  ']",FEMALE,"[' ', ' ']"
"['BYE  ', 'BYE  ']",MALE,"[' ', ' ']"
"['Banam MTSHAWULANA', 'Alungile MAQONDO']",MALE,"['EC', 'EC']"
"['Banam MTSHAWULANA', 'Indiphe KWEYEYE']",FEMALE,"['EC', 'EC']"
"['Bimal JIVRAJ', 'Rupert BESTER']",MALE,"['JTTA', 'FS']"
"['Binyamin SALIE', 'Kareem ZAIN EDDIN']",MALE,"['GN', 'GN']"
"['Boingotlo MOTHUPI', 'Le Roux STRYDOM']",MALE,"['USSA', 'USSA']"
"['Boipelo MASHWABI', 'Boingotlo MOTHUPI']",FEMALE,"['FS', 'USSA']"
"['Boipelo MASHWABI', 'Sipho BOOI']",MALE,"['FS', 'FS']"
"['Boitumelo LEHETLA', 'Sechaba MOKOENA']",MALE,"['FS', 'FS']"
"['Bophelo MOTSHABI', 'Mbulelo LEEUW']",MALE,"['FS', 'FS']"
"['Brady NAIDOO', 'Zachariah CHETTY']",MALE,"['ETK', 'ETK']"
"['Briana MOGALADI', 'Gabriella TSIAKA']",FEMALE,"['BOT', 'BOT']"
"['Briana MOGALADI', 'Kgotla THEBEYAME']",MALE,"['BOT', 'BOT']"
"['Caitlin LINGEVELDT', 'Keenen JOOSTE']",MALE,"['CT', 'CT']"
"['Caleb LAWRENCE', 'Christian POGGENPOEL']",MALE,"['CT', 'CT']"
"['Callum FRANK', 'Tyriq BRIGRAJ']",MALE,"['UMG', 'UMG']"
"['Carline RAUTENBACH', 'Jada VENTER']",FEMALE,"['GN', 'GN']"
"['Carline RAUTENBACH', 'Vedansh MORYA']",MALE,"['GN', 'GN']"
"['Carlynne KROUTZ', 'Bahumi SESEANE']",MALE,"['NMB', 'FS']"
"['Carlynne KROUTZ', 'Saranon GOVENDER']",FEMALE,"['NMB', 'NMB']"
"['Carol DAVID', 'Masa MOTLHABANE']",FEMALE,"['BOT', 'BOT']"
"['Carol DAVID', 'Rajiah ALONSO']",MALE,"['BOT', 'ETK']"
"['Channan HURWITZ', 'Faizan HOOSEN']",MALE,"['JTTA', 'JTTA']"
"['Charity RADINGOANA', 'Kwena MOKWENA']",MALE,"['LIM', 'LIM']"
"['Chervon NYSSCHENS', 'Michael DE KOCK']",MALE,"['NMB', 'NMB']"
"['Chetan NATHOO', 'Darren RODGERS']",MALE,"['JTTA', 'CT']"
"['Chumani MVULA', 'Anethemba NYAMKHAZI']",MALE,"['EC', 'EC']"
"['Daniel NAIDOO', 'David NAIDOO']",MALE,"['ETK', 'ETK']"
"['Danisha PATEL', 'Chetan NATHOO']",MALE,"['JTTA', 'JTTA']"
"['Danisha PATEL', 'Lailaa EDWARDS']",FEMALE,"['JTTA', 'JTTA']"
"['Danyelle VERHEIJEN', 'Leche VERSTER']",FEMALE,"['GN', 'GN']"
"['Danyelle VERHEIJEN', 'Mikal KRUGER']",MALE,"['GN', 'GN']"
"['Deanne NAIDOO', 'Japhet CHETTY']",MALE,"['ETK', 'ETK']"
"['Delite MAGABE', 'Oratile SELEKE']",MALE,"['NW', 'NW']"
"['Delite MAGABE', 'Thandi MATLOU']",FEMALE,"['NW', 'NW']"
"['Des-Leigh BOOYSEN', 'Sergiano BOCKS']",MALE,"['WC', 'WC']"
"['Dev GOKAL', 'Raidan RAGUMAN']",MALE,"['ETK', 'ETK']"
"['Deveigon WILLIAMS', 'Evan JANSEN']",MALE,"['EDEN', 'EDEN']"
"['Dimakatso GAOTLOPE', 'Tebogo MAAKE']",MALE,"['LIM', 'LIM']"
"['Dineo KHANYE', 'Keletso SEBOPEL']",FEMALE,"['NW', 'NW']"
"['Dineo KHANYE', 'Thato DITHEJANE']",MALE,"['NW', 'NW']"
"['Dineo KUTU', 'Mzwandile NKGOBANG']",MALE,"['NC', 'NC']"
"['Dineo KUTU', 'Tsholofelo MECWI']",FEMALE,"['NC', 'NC']"
"['Dipheta MOHATLI', 'Mapiti MOHATLI']",MALE,"['LIM', 'LIM']"
"['Dirk COETZEE', 'Timothy FITZGIBBON']",MALE,"['CT', 'CT']"
"['Diyaan NAGARDAS', 'Matt GILCHRIST']",MALE,"['JTTA', 'JTTA']"
"['Diyaan RAMCHURRAN', 'Caydon BRIGRAJ']",MALE,"['UMG', 'UMG']"
"['Diyanah KHAN', 'Diyaan NAGARDAS']",MALE,"['JTTA', 'JTTA']"
"['Elihleithemba MKHIZE', 'Arya HEERALAL']",FEMALE,"['ETK', 'ETK']"
"['Emerenthia WILLIAMS', 'Cassie STEVENS']",FEMALE,"['EDEN', 'EDEN']"
"['Enjun PAN', 'Shiraaz MOOSA']",MALE,"['JTTA', 'FS']"
"['Eric AGBOZO', 'Riaan MAY']",MALE,"['NMB', 'NMB']"
"['Esinayo PHOKI', 'Indiphile VOLIBI']",MALE,"['EC', 'EC']"
"['Esinayo PHOKI', 'Mlibokazi MJADU']",FEMALE,"['EC', 'EC']"
"['Ethan MARTIN', 'Logan SMIT']",MALE,"['GN', 'GN']"
"['Ettienne ENGELBRECHT', 'Vic CARRASCO']",MALE,"['FS', 'FS']"
"['Eugene STALLENBERG', 'Andrew MUDIE']",MALE,"['NMB', 'NMB']"
"['Eugene STALLENBERG', 'Chervon NYSSCHENS']",FEMALE,"['NMB', 'NMB']"
"['Farah DOMINGO', 'Micah JONES']",MALE,"['CT', 'CT']"
"['Franks DAYYAN', 'Ishaan PAUL']",MALE,"['ETK', 'ETK']"
"['Gabriella TSIAKA', 'Tebogo KOTOPO']",MALE,"['BOT', 'BOT']"
"['Gemma PARBHOODEEN', 'Keval PILLAY']",MALE,"['UMG', 'UMG']"
"['Gemma PARBHOODEEN', 'Prisha PADAYACHEE']",FEMALE,"['UMG', 'UMG']"
"['Gershwin WILLIAMS', 'Xhaiden WILLIAMS']",MALE,"['EDEN', 'EDEN']"
"['Gerswin VAN HEERDEN', 'Llewellyn VAN ROOYEN']",MALE,"['EDEN', 'EDEN']"
"['Gift HLATSHWAYO', 'Mnikelo DRY']",MALE,"['FS', 'FS']"
"['Godfrey MOLETE', 'Cedric MODISE']",MALE,"['FS', 'FS']"
"['Grace KESVAL', 'Channan HURWITZ']",MALE,"['JTTA', 'JTTA']"
"['Grace KESVAL', 'Kristin KATA']",FEMALE,"['JTTA', 'JTTA']"
"['Gustav BECKER', 'Noah GUNTELACH']",MALE,"['CW', 'CW']"
"['Halaletsang MATSIE', 'Oreneile MORAILE']",MALE,"['FS', 'FS']"
"['Hayden PERRANG', 'Amaru JOSEPH']",MALE,"['WC', 'WC']"
"['Himesh PILLAY', 'Mlungisi MAKHAYE']",MALE,"['UMG', 'UMG']"
"['Hlompho MOSALA', 'One LEKWENE']",MALE,"['NW', 'NW']"
"['Hlompho MOSALA', 'Paballo MOSALA']",FEMALE,"['NW', 'NW']"
"['Imaan DOMINGO', 'Farah DOMINGO']",FEMALE,"['CT', 'CT']"
"['Imaan DOMINGO', 'Yaqoob DOMINGO']",MALE,"['CT', 'CT']"
"['Imaan FAKEY', 'Alicia VERHEIJEN']",FEMALE,"['GN', 'GN']"
"['Imaan FAKEY', 'Sazi ECCLES']",MALE,"['GN', 'GN']"
"['Iminam ZIDE', 'Chumani MVULA']",MALE,"['EC', 'EC']"
"['Iminam ZIDE', 'Yonwaba MATILOSE']",FEMALE,"['EC', 'EC']"
"['Inam BONGA', 'Phikolethu MBANDA']",MALE,"['EC', 'EC']"
"['Indiphe KWEYEYE', 'Azola MADONYELA']",MALE,"['EC', 'EC']"
"['Irisha PEDRO', 'Llewellyn VAN ROOYEN']",MALE,"['EDEN', 'EDEN']"
"['Itumeleng NTSOKOANE', 'Khulekani NXUMALO']",MALE,"['EKU', 'EKU']"
"['JG DU TOIT', 'Derick DE KOCK']",MALE,"['GN', 'GN']"
"['Jada VENTER', 'Ewan BOOYENS']",MALE,"['GN', 'GN']"
"['Jade SASMAN', 'Liam BEUKES']",MALE,"['CT', 'JTTA']"
"['Jae-Leigh HOFFMAN', 'Tony PRETORIUS']",MALE,"['EDEN', 'EDEN']"
"['Janine SAIT', 'Timothy FITZGIBBON']",MALE,"['CT', 'CT']"
"['Jazmine KANNIE', 'Aadilah CHOHAN']",FEMALE,"['UMG', 'UMG']"
"['Jazmine KANNIE', 'Arbee AHMED']",MALE,"['UMG', 'UMG']"
"['Jesse-Leigh NOMDO', 'Preshen NAIDOO']",MALE,"['UMG', 'UMG']"
"['Jiya NAIDOO', 'Taylin NAIPAL']",MALE,"['UMG', 'UMG']"
"['Jodie GALANT', 'Cuten LODEWYK']",MALE,"['CT', 'CT']"
"['Jody THEUNESSIN', 'Jyante JACOBS']",FEMALE,"['CT', 'CT']"
"['Jody THEUNESSIN', 'Nande NQGULA']",MALE,"['CT', 'CT']"
"['Jordyn REDDY', 'Caydon BRIGRAJ']",MALE,"['UMG', 'UMG']"
"['Juane SCHOLTZ', 'Ruan SCHOLTZ']",MALE,"['GN', 'GN']"
"['Juane SCHOLTZ', 'Zodwa MAPHANGA']",FEMALE,"['GN', 'GN']"
"['Junior MTHEMBU', 'Luyanda NGOBESE']",MALE,"['UMZ', 'UMZ']"
"['Jyante JACOBS', 'Marvin MUSUNGISI']",MALE,"['CT', 'CT']"
"['Kabelo LETSOALO', 'Mapiti MOHATLI']",MALE,"['LIM', 'LIM']"
"['Kaitlin BIGGAS', 'Zachariah CHETTY']",MALE,"['ETK', 'ETK']"
"['Kamogelo MABOKO', 'Dimpho RAMOCHEKI']",MALE,"['LIM', 'LIM']"
"['Karabo LENYAI', 'Thato MOJAKISANE']",MALE,"['NW', 'NW']"
"['Karen PILLAY', 'Nitara TOTARAM']",FEMALE,"['UMG', 'UMG']"
"['Karen PILLAY', 'Tayden ROYAPPEN']",MALE,"['UMG', 'UMG']"
"['Katlego KHABELA', 'Paballo MOLOINYANA']",MALE,"['NW', 'NW']"
"['Katlego KHABELA', 'Siyabonga MALEPA']",MALE,"['NW', 'NW']"
"['Katleho MARUOA', 'Omphile MOKOARI']",FEMALE,"['FS', 'FS']"
"['Katleho MARUOA', 'Onalenna MATEKANE']",MALE,"['FS', 'FS']"
"['Kauthar VAN DER SCHYFF', 'Milo KATZ']",MALE,"['CT', 'CT']"
"['Keabetswe MPATA', 'Bokamoso MOJATAU']",FEMALE,"['FS', 'FS']"
"['Keabetswe MPATA', 'Lebohang LEKHOTLA']",MALE,"['FS', 'FS']"
"['Keane NAIDOO', 'Japhet CHETTY']",MALE,"['ETK', 'ETK']"
"['Keenen JOOSTE', 'Kirshwin STEYN']",MALE,"['CT', 'CT']"
"['Keletso SEBOPEL', 'Atlegang SEMETSA']",MALE,"['NW', 'NW']"
"['Keona PILLAY', 'Khiara ANANDHPURI']",FEMALE,"['UMG', 'UMG']"
"['Keona PILLAY', 'Seth REDLINGHUYS']",MALE,"['UMG', 'UMG']"
"['Kgalalelo PHEKONYANE', 'Oreneile MORAILE']",MALE,"['FS', 'FS']"
"['Kgothatso NKADIMENG', 'Charity RADINGOANA']",FEMALE,"['LIM', 'LIM']"
"['Kgothatso NKADIMENG', 'Shaun PAKO']",MALE,"['LIM', 'LIM']"
"['Kgotla THEBEYAME', 'Tebogo KOTOPO']",MALE,"['BOT', 'BOT']"
"['Khiara ANANDHPURI', 'Ashlyn RAMTHOL']",MALE,"['UMG', 'UMG']"
"['Kian CHAPMAN', 'Nahum PHILANDER']",MALE,"['CT', 'CT']"
"['Kiaran PERUMAL', 'Shameel ALI']",MALE,"['UMG', 'UMG']"
"['Kimeshni PILLAY', 'Alyssa NAIR']",FEMALE,"['UMG', 'UMG']"
"['Kimeshni PILLAY', 'Kyan NAIDOO']",MALE,"['UMG', 'UMG']"
"['Kobamelo TAMPE', 'Boitshepo SEMETSA']",MALE,"['NW', 'NW']"
"['Koketso SETHUNYA', 'Nhlanhla MDEBUKA']",MALE,"['FS', 'FS']"
"['Kristin KATA', 'Faizan HOOSEN']",MALE,"['JTTA', 'JTTA']"
"['Kritika TOTARAM', 'Veya PILLAY']",FEMALE,"['UMG', 'UMG']"
"['Kyan NAIDOO', 'Luyanda NXUMALO']",MALE,"['UMG', 'UMG']"
"['Laaibah KHAN', 'Aphiwe MAKHUBU']",FEMALE,"['UMZ', 'UMZ']"
"['Laaibah KHAN', 'Sibongwa MASIMULA']",MALE,"['UMZ', 'UMZ']"
"['Lailaa EDWARDS', 'Mark WILLIAMS']",MALE,"['JTTA', 'JTTA']"
"['Latita GOLOGOLO', 'Boitumelo LEHETLA']",MALE,"['FS', 'FS']"
"['Latita GOLOGOLO', 'Bophelo MOTSHABI']",FEMALE,"['FS', 'FS']"
"['Leboga TONGWANE', 'Boinelo SEGOMOCO']",MALE,"['NC', 'NC']"
"['Lebogang MOLOINYANA', 'Elrio BABEDI']",MALE,"['NW', 'NW']"
"['Leche VERSTER', 'CJ VERSTER']",MALE,"['GN', 'GN']"
"['Leneshan VANDAYAR', 'Kael PILLAY']",MALE,"['ETK', 'ETK']"
"['Leora RAMCHURRAN', 'Callum FRANK']",MALE,"['UMG', 'UMG']"
"['Leora RAMCHURRAN', 'Tarini PILLAY']",FEMALE,"['UMG', 'UMG']"
"['Letai-Shai GOVINDSAMY', 'Ishaan PAUL']",MALE,"['ETK', 'ETK']"
"['Letshego PHEKONYANE', 'Mnikelo DRY']",MALE,"['FS', 'FS']"
"['Liam BEUKES', 'Cowen LODEWYK']",MALE,"['JTTA', 'JTTA']"
"['Likusasa SIGANGA', 'Nzameko NGAMBU']",MALE,"['EC', 'EC']"
"['Lindelo NKGOBANG', 'Sechaba MOKOENA']",MALE,"['NC', 'FS']"
"['Lindsay OCTOBER', 'Wafeeq DOMINGO']",MALE,"['CT', 'CT']"
"['Lithalethu SITHENDE', 'Indiphile VOLIBI']",MALE,"['EC', 'EC']"
"['Liyaphila THUNGWANE', 'Likusasa SIGANGA']",FEMALE,"['EC', 'EC']"
"['Liyaphila THUNGWANE', 'Limise MADANGATYA']",MALE,"['EC', 'EC']"
"['Logan WILLEMSE', 'Nashwin PIENAAR']",MALE,"['CT', 'CT']"
"['Luke ABRAHAMS', 'Terrence MATHOLE']",MALE,"['JTTA', 'JTTA']"
"['Luke DANSTER', 'Njongo NQGULA']",MALE,"['CT', 'CT']"
"['Lusanda MOLOI', 'Jesse-Leigh NOMDO']",FEMALE,"['UMG', 'UMG']"
"['Lusanda MOLOI', 'Luyanda NXUMALO']",MALE,"['UMG', 'UMG']"
"['Mahi GOKAL', 'Deanne NAIDOO']",FEMALE,"['ETK', 'ETK']"
"['Mahi GOKAL', 'Vaishant PADAYACHEE']",MALE,"['ETK', 'JTTA']"
"['Mahlatse RAMOLLO', 'Tebogo MAAKE']",MALE,"['LIM', 'LIM']"
"['Makomborero MAPOSA', 'Israel GWERU']",MALE,"['ZIM', 'ZIM']"
"['Manqoba NYAMATE', 'Awande ZULU']",MALE,"['JTTA', 'JTTA']"
"['Marlene SWANEPOEL', 'Xhaiden WILLIAMS']",MALE,"['EDEN', 'EDEN']"
"['Marquin KAYSER', 'Tony PRETORIUS']",MALE,"['EDEN', 'EDEN']"
"['Martin-Junior BOOYSEN', 'Dominique AFRIKA']",MALE,"['WC', 'WC']"
"['Masa MOTLHABANE', 'Agobakwe SEBETLELA']",MALE,"['BOT', 'BOT']"
"['Matthew LINGEVELDT', 'Nashwin PIENAAR']",MALE,"['CT', 'CT']"
"['Mbulelo LEEUW', 'Lebohang LEKHOTLA']",MALE,"['FS', 'FS']"
"['Mhlengi VILAKAZI', 'Kwanda NHLAPO']",MALE,"['ETK', 'ETK']"
"['Michael DE KOCK', 'Andrew MUDIE']",MALE,"['NMB', 'NMB']"
"['Mikal KRUGER', 'Nathan MCKENZIE']",MALE,"['GN', 'GN']"
"['Mikayla GOVENDER', 'Rucita LUTCHMINARAIN']",FEMALE,"['ETK', 'ETK']"
"['Mikayla TOTARAM', 'Mlungisi MAKHAYE']",MALE,"['UMG', 'UMG']"
"['Mikayla TOTARAM', 'Shavishka RAMALINGAM']",FEMALE,"['UMG', 'UMG']"
"['Mikyle REDDY', 'Melokuhle CELE']",MALE,"['ETK', 'ETK']"
"['Milcah GOLOGOLO', 'Amogelang MARUMO']",MALE,"['FS', 'FS']"
"['Milcah GOLOGOLO', 'Khadija OSMAN']",FEMALE,"['FS', 'FS']"
"['Milo KATZ', 'Timothy LINGEVELDT']",MALE,"['CT', 'CT']"
"['Minenhle KUNENE', 'Sinokuhle NGOBESE']",MALE,"['UMZ', 'UMZ']"
"['Mlibokazi MJADU', 'Lithalethu SITHENDE']",MALE,"['EC', 'EC']"
"['Modjadji PAKO', 'Temoso LETJOU']",MALE,"['LIM', 'LIM']"
"['Msizi LUSWAZI', 'Sinokuhle NGOBESE']",MALE,"['UMZ', 'UMZ']"
"['Munier FERHELST', 'Ilyaas PATEL']",MALE,"['CT', 'CT']"
"['Musfiquh KALAM', 'Darren RODGERS']",MALE,"['CT', 'CT']"
"['Musfiquh KALAM', 'Jade SASMAN']",FEMALE,"['CT', 'CT']"
"['Mzwandile NKGOBANG', 'Thato SEKAMOENG']",MALE,"['NC', 'NC']"
"['Nande NQGULA', 'Marvin MUSUNGISI']",MALE,"['CT', 'CT']"
"['Natalie HECHTER', 'Enjun PAN']",MALE,"['JTTA', 'JTTA']"
"['Navish PANDAY', 'Kavir GAYANDA']",MALE,"['ETK', 'ETK']"
"['Nelokuhle MGENGE', 'Jared BIGGAS']",MALE,"['ETK', 'ETK']"
"['Nevadya RAMPERSAD', 'Preeti BAIJNATH']",FEMALE,"['UMG', 'UMG']"
"['Nilesh SINGH', 'Abdul HAY']",MALE,"['JTTA', 'JTTA']"
"['Nitara TOTARAM', 'Sphamandla MNGADI']",MALE,"['UMG', 'UMG']"
"['Nokubonga MABASO', 'DJ SWANEVELDER']",MALE,"['USSA', 'USSA']"
"['Nomcebo SIKHOKHANE', 'Aariya MASSALLIA']",FEMALE,"['UMZ', 'UMZ']"
"['Nomcebo SIKHOKHANE', 'Siyabonga MOTLOUNG']",MALE,"['UMZ', 'UMZ']"
"['Nompilenhle CHINANC', 'Olwethu MBATHA']",FEMALE,"['ETK', 'ETK']"
"['Nthabeleng SEKETE', 'Kobamelo TAMPE']",FEMALE,"['NW', 'NW']"
"['Nthabeleng SEKETE', 'Omphemetse MOKHUTSANE']",MALE,"['NW', 'NW']"
"['Nthabiseng MANYAMA', 'Dipheta MOHATLI']",FEMALE,"['LIM', 'LIM']"
"['Nthabiseng MANYAMA', 'Kabelo LETSOALO']",MALE,"['LIM', 'LIM']"
"['Ntuthuzelo LUSITHI', 'Udhir RAMNATH']",MALE,"['USSA', 'USSA']"
"['Olorato RAMAGAPU', 'Lindsay OCTOBER']",MALE,"['BOT', 'CT']"
"['Oluhle GUMEDE', 'Yamkela SISHI']",MALE,"['ETK', 'ETK']"
"['Olwethu NXUMALO', 'Luyanda NGOBESE']",MALE,"['UMZ', 'UMZ']"
"['Omar ZAIN EDDIN', 'Muhammad KARIM']",MALE,"['GN', 'GN']"
"['Omkar HARIDASS', 'Muhammad BHOLAT']",MALE,"['UMG', 'JTTA']"
"['Omphemetse MOKHUTSANE', 'Boitshepo SEMETSA']",MALE,"['NW', 'NW']"
"['Omphile MOKOARI', 'Reamogetswe LEPHEANA']",MALE,"['FS', 'FS']"
"['Onalenna MATEKANE', 'Reamogetswe LEPHEANA']",MALE,"['FS', 'FS']"
"['One LEKWENE', 'Oageng MOABI']",MALE,"['NW', 'NW']"
"['Onkarabile KHOLOMANYANE', 'Atlegang MAICHOTLO']",MALE,"['NW', 'NW']"
"['Onkarabile KHOLOMANYANE', 'Solofelang MAKOKOE']",FEMALE,"['NW', 'NW']"
"['Orapeleng DITHIPE', 'Elrio BABEDI']",MALE,"['NW', 'NW']"
"['Oratile SELEKE', 'Olerato MBOQO']",MALE,"['NW', 'NW']"
"['Paballo MOLOINYANA', 'Lebogang MOLOINYANA']",FEMALE,"['NW', 'NW']"
"['Paballo MOSALA', 'Oageng MOABI']",MALE,"['NW', 'NW']"
"['Patricia KGALANYANE', 'Amogelang MAKOLOTE']",FEMALE,"['NW', 'NW']"
"['Patricia KGALANYANE', 'Orapeleng DITHIPE']",MALE,"['NW', 'NW']"
"['Plan PASHI', 'Oswald GOREMUSANDU']",MALE,"['ZIM', 'ZIM']"
"['Precious BENSON', 'Awande ZULU']",MALE,"['JTTA', 'JTTA']"
"['Precious BENSON', 'Natalie HECHTER']",FEMALE,"['JTTA', 'JTTA']"
"['Precious BOGATSU', 'Karabo LENYAI']",FEMALE,"['NW', 'NW']"
"['Precious BOGATSU', 'Winston MASOPHA']",MALE,"['NW', 'NW']"
"['Preshen NAIDOO', 'Luyanda NGCOBO']",MALE,"['UMG', 'UMG']"
"['Princess TICHIWANGANI', 'Israel GWERU']",MALE,"['ZIM', 'ZIM']"
"['Prisha PADAYACHEE', 'Umair PATEL']",MALE,"['UMG', 'UMG']"
"['Propheser MWATSIKA', 'Michael MADIWA']",MALE,"['ZIM', 'ZIM']"
"['Prudence PASHI', 'Makomborero MAPOSA']",MALE,"['ZIM', 'ZIM']"
"['Prudence PASHI', 'Princess TICHIWANGANI']",FEMALE,"['ZIM', 'ZIM']"
"['Qaa-Im JACOBS', 'Owais JACOBS']",MALE,"['CT', 'CT']"
"['Rashmika RAMPHAL', 'Itumeleng NTSOKOANE']",FEMALE,"['JTTA', 'EKU']"
"['Rashmika RAMPHAL', 'Tian LOUW']",MALE,"['JTTA', 'CW']"
"['Reabetswe TIRO', 'Sam ONKARABETSE']",MALE,"['NW', 'NW']"
"['Reabetswe TIRO', 'Tshepiso LEHLOO']",FEMALE,"['NW', 'NW']"
"['Refilwe MOCHABELA', 'Dimakatso GAOTLOPE']",FEMALE,"['LIM', 'LIM']"
"['Refilwe MOCHABELA', 'Mahlatse RAMOLLO']",MALE,"['LIM', 'LIM']"
"['Refilwe PHOOFOLO', 'Shiraaz MOOSA']",MALE,"['FS', 'FS']"
"['Remofilwe MONNAHELA', 'Katlego PULE']",MALE,"['NW', 'NW']"
"['Reneilwe LEKORWE', 'Agobakwe SEBETLELA']",MALE,"['BOT', 'BOT']"
"['Rethabile MOLISENYANE', 'Cedric MODISE']",MALE,"['FS', 'FS']"
"['Rethabile MOLISENYANE', 'Letshego PHEKONYANE']",FEMALE,"['FS', 'FS']"
"['Riana FOURIE', 'Koketso SETHUNYA']",MALE,"['FS', 'FS']"
"['Riana FOURIE', 'Ntsolloane THOBEKA']",FEMALE,"['FS', 'FS']"
"['Ridhaa JAWITZ', 'Philo MOODLEY']",MALE,"['NMB', 'NMB']"
"['Rochica SONDAY', 'Cuten LODEWYK']",MALE,"['CT', 'CT']"
"['Ronel BOTHA', 'Tevia SAPIRE']",MALE,"['JTTA', 'JTTA']"
"['Rorisang MOILANYANE', 'Remofilwe MONNAHELA']",MALE,"['NW', 'NW']"
"['Ruan SCHOLTZ', 'Lunga VAKELE']",MALE,"['GN', 'GN']"
"['Rysan RAGHUNAN', 'Elijah BECHOO']",MALE,"['ETK', 'ETK']"
"['Saadia EDWARDS', 'Cowen LODEWYK']",MALE,"['JTTA', 'JTTA']"
"['Saadia EDWARDS', 'Ronel BOTHA']",FEMALE,"['JTTA', 'JTTA']"
"['Saeed TIFFLIN', 'Vaishant PADAYACHEE']",MALE,"['JTTA', 'JTTA']"
